appleMobility,caseFatalityRisk,confirmed,confirmedDelta,confirmedGrowthRate,country,countryCode,dateId,dayId,deceased,deceasedDelta,deceasedGrowthRate,doublingTime,googleMobility,immunizationRate,importDate,incidencePer100k,infectious,infectiousDelta,infectiousGrowthRate,recovered,recoveredDelta,recoveredGrowthRate,recoveryRate,responseStringency,tested,testedDelta,testedPer1k
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-01,1,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:39.879,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-02,2,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:40.802,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-03,3,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:41.520,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-04,4,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:42.276,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-05,5,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:42.902,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-06,6,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:43.588,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-07,7,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:44.439,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-08,8,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:45.081,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-09,9,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:45.661,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-10,10,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:46.248,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-11,11,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:46.877,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-12,12,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:47.544,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-13,13,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:48.195,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-14,14,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:48.858,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-15,15,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:49.466,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-16,16,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:50.292,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-17,17,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:51.140,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-18,18,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:51.745,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-19,19,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:52.498,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-20,20,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:53.150,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-21,21,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:53.805,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-22,22,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:57.413,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-23,23,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:58.321,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-24,24,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:59.344,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-25,25,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:56:00.467,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-26,26,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:56:01.490,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-27,27,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:56:02.517,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
0.0,0.0,0,0,0.0,Saint Lucia,LC,2020-01-28,28,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:56:03.541,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
