appleMobility,caseFatalityRisk,confirmed,confirmedDelta,confirmedGrowthRate,country,countryCode,dateId,dayId,deceased,deceasedDelta,deceasedGrowthRate,doublingTime,googleMobility,immunizationRate,importDate,incidencePer100k,infectious,infectiousDelta,infectiousGrowthRate,recovered,recoveredDelta,recoveredGrowthRate,recoveryRate,responseStringency,tested,testedDelta,testedPer1k
100.0,0.0,0,0,0.0,Caribbean Netherlands,BQ,2020-01-01,1,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:39.881,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
100.0,0.0,0,0,0.0,Caribbean Netherlands,BQ,2020-01-02,2,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:40.804,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
100.0,0.0,0,0,0.0,Caribbean Netherlands,BQ,2020-01-03,3,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:41.521,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
100.0,0.0,0,0,0.0,Caribbean Netherlands,BQ,2020-01-04,4,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:42.277,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
100.0,0.0,0,0,0.0,Caribbean Netherlands,BQ,2020-01-05,5,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:42.902,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
100.0,0.0,0,0,0.0,Caribbean Netherlands,BQ,2020-01-06,6,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:43.589,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
100.0,0.0,0,0,0.0,Caribbean Netherlands,BQ,2020-01-07,7,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:44.440,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
100.0,0.0,0,0,0.0,Caribbean Netherlands,BQ,2020-01-08,8,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:45.082,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
100.0,0.0,0,0,0.0,Caribbean Netherlands,BQ,2020-01-09,9,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:45.662,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
100.0,0.0,0,0,0.0,Caribbean Netherlands,BQ,2020-01-10,10,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:46.249,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
100.0,0.0,0,0,0.0,Caribbean Netherlands,BQ,2020-01-11,11,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:46.878,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
100.0,0.0,0,0,0.0,Caribbean Netherlands,BQ,2020-01-12,12,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:47.545,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
100.0,0.0,0,0,0.0,Caribbean Netherlands,BQ,2020-01-13,13,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:48.196,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
101.68666666666667,0.0,0,0,0.0,Caribbean Netherlands,BQ,2020-01-14,14,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:48.858,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
103.43666666666667,0.0,0,0,0.0,Caribbean Netherlands,BQ,2020-01-15,15,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:49.467,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
107.41000000000001,0.0,0,0,0.0,Caribbean Netherlands,BQ,2020-01-16,16,0,0,0.0,0.0,0.0,0.0,2020-05-19T22:55:50.293,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0
